At. num,Sp. Name,Ion Charge,El. Name,Isoel. Seq.,Ground Shells (a),Ground Config.,Ground Level,Prefix,Ionization Energy (b) (eV),Suffix,Uncertainty (c) (eV),References,
"=""1""","=""H I""","=""0""","=""Hydrogen""","=""H""","=""1s""","=""1s""","=""2S<1/2>""","=""(""","=""13.598434599702""","="")""","=""0.000000000012""","=""HDEL""",
"=""2""","=""He I""","=""0""","=""Helium""","=""He""","=""1s2""","=""1s2""","=""1S0""","=""""","=""24.587389011""","=""""","=""0.000000025""","=""L17714""",
"=""2""","=""He II""","=""+1""","=""Helium""","=""H""","=""1s""","=""1s""","=""2S<1/2>""","=""(""","=""54.4177655282""","="")""","=""0.0000000010""","=""L19200""",
"=""3""","=""Li I""","=""0""","=""Lithium""","=""Li""","=""1s2.2s""","=""1s2.2s""","=""2S<1/2>""","=""""","=""5.391714996""","=""""","=""0.000000022""","=""L12261""",
"=""3""","=""Li II""","=""+1""","=""Lithium""","=""He""","=""1s2""","=""1s2""","=""1S0""","=""(""","=""75.6400970""","="")""","=""0.0000012""","=""L10054""",
"=""3""","=""Li III""","=""+2""","=""Lithium""","=""H""","=""1s""","=""1s""","=""2S<1/2>""","=""(""","=""122.45435913""","="")""","=""0.00000011""","=""L19200""",
"=""4""","=""Be I""","=""0""","=""Beryllium""","=""Be""","=""1s2.2s2""","=""1s2.2s2""","=""1S0""","=""""","=""9.322699""","=""""","=""0.000007""","=""L5964""",
"=""4""","=""Be II""","=""+1""","=""Beryllium""","=""Li""","=""1s2.2s""","=""1s2.2s""","=""2S<1/2>""","=""""","=""18.21115""","=""""","=""0.00004""","=""L12158""",
"=""4""","=""Be III""","=""+2""","=""Beryllium""","=""He""","=""1s2""","=""1s2""","=""1S0""","=""(""","=""153.896205""","="")""","=""0.000004""","=""L10054""",
"=""4""","=""Be IV""","=""+3""","=""Beryllium""","=""H""","=""1s""","=""1s""","=""2S<1/2>""","=""(""","=""217.71858459""","="")""","=""0.00000010""","=""L19200""",
"=""5""","=""B I""","=""0""","=""Boron""","=""B""","=""1s2.2s2.2p""","=""2s2.2p""","=""2P*<1/2>""","=""""","=""8.298019""","=""""","=""0.000003""","=""L12312""",
"=""5""","=""B II""","=""+1""","=""Boron""","=""Be""","=""1s2.2s2""","=""1s2.2s2""","=""1S0""","=""""","=""25.15483""","=""""","=""0.00005""","=""L12120""",
"=""5""","=""B III""","=""+2""","=""Boron""","=""Li""","=""1s2.2s""","=""1s2.2s""","=""2S<1/2>""","=""""","=""37.93059""","=""""","=""0.00007""","=""L12547""",
"=""5""","=""B IV""","=""+3""","=""Boron""","=""He""","=""1s2""","=""1s2""","=""1S0""","=""(""","=""259.374379""","="")""","=""0.000009""","=""L10054""",
"=""5""","=""B V""","=""+4""","=""Boron""","=""H""","=""1s""","=""1s""","=""2S<1/2>""","=""(""","=""340.2260225""","="")""","=""0.0000006""","=""L19200""",
"=""6""","=""C I""","=""0""","=""Carbon""","=""C""","=""1s2.2s2.2p2""","=""2s2.2p2""","=""3P0""","=""""","=""11.2602880""","=""""","=""0.0000011""","=""L20057""",
"=""6""","=""C II""","=""+1""","=""Carbon""","=""B""","=""1s2.2s2.2p""","=""2s2.2p""","=""2P*<1/2>""","=""""","=""24.383143""","=""""","=""0.000012""","=""L22145""",
"=""6""","=""C III""","=""+2""","=""Carbon""","=""Be""","=""1s2.2s2""","=""1s2.2s2""","=""1S0""","=""""","=""47.88778""","=""""","=""0.00025""","=""L876c191""",
"=""6""","=""C IV""","=""+3""","=""Carbon""","=""Li""","=""1s2.2s""","=""1s2.2s""","=""2S<1/2>""","=""""","=""64.49352""","=""""","=""0.00019""","=""L11667""",
"=""6""","=""C V""","=""+4""","=""Carbon""","=""He""","=""1s2""","=""1s2""","=""1S0""","=""(""","=""392.09056""","="")""","=""0.00004""","=""L21139""",
