years,fraction_remaining
0,1.000000e+0
0.5,9.722611e-1
1,9.452916e-1
1.5,9.190702e-1
2,8.935762e-1
2.5,8.687893e-1
3,8.446901e-1
3.5,8.212593e-1
4,7.984784e-1
4.5,7.763295e-1
5,7.547949e-1
5.5,7.338577e-1
6,7.135013e-1
6.5,6.937095e-1
7,6.744668e-1
7.5,6.557578e-1
8,6.375678e-1
8.5,6.198823e-1
9,6.026875e-1
9.5,5.859696e-1
10,5.697154e-1
10.5,5.539121e-1
11,5.385472e-1
11.5,5.236084e-1
12,5.090841e-1
12.5,4.949627e-1
13,4.812329e-1
13.5,4.678840e-1
14,4.549054e-1
14.5,4.422869e-1
15,4.300183e-1
15.5,4.180900e-1
16,4.064927e-1
16.5,3.952170e-1
17,3.842541e-1
17.5,3.735953e-1
18,3.632322e-1
18.5,3.531565e-1
19,3.433603e-1
19.5,3.338359e-1
20,3.245756e-1
20.5,3.155722e-1
21,3.068186e-1
21.5,2.983078e-1
22,2.900331e-1
22.5,2.819878e-1
23,2.741658e-1
23.5,2.665607e-1
24,2.591666e-1
24.5,2.519776e-1
25,2.449880e-1
25.5,2.381923e-1
26,2.315851e-1
26.5,2.251612e-1
27,2.189155e-1
27.5,2.128430e-1
28,2.069390e-1
28.5,2.011987e-1
29,1.956177e-1
29.5,1.901914e-1
30,1.849157e-1
30.5,1.797864e-1
31,1.747993e-1
31.5,1.699505e-1
32,1.652363e-1
32.5,1.606528e-1
33,1.561965e-1
33.5,1.518638e-1
34,1.476512e-1
34.5,1.435555e-1
35,1.395735e-1
35.5,1.357018e-1
36,1.319376e-1
36.5,1.282778e-1
37,1.247195e-1
37.5,1.212599e-1
38,1.178963e-1
38.5,1.146260e-1
39,1.114464e-1
39.5,1.083550e-1
40,1.053493e-1
40.5,1.024271e-1
41,9.958584e-2
41.5,9.682344e-2
42,9.413766e-2
42.5,9.152638e-2
43,8.898754e-2
43.5,8.651912e-2
44,8.411917e-2
44.5,8.178580e-2
45,7.951714e-2
45.5,7.731142e-2
46,7.516689e-2
46.5,7.308184e-2
47,7.105463e-2
47.5,6.908365e-2
48,6.716734e-2
48.5,6.530419e-2
49,6.349272e-2
49.5,6.173150e-2
50,6.001914e-2
